Job name        : med-lfb-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   17] BNT [score: 1406.0, median singleton score: 148.5, visited nodes (%): 66.66667175292969, solving time (ms): 6.0, median approximation score: 1.7380952835083008]
[   17] CTS [score: 793.0, median singleton score: 165.5, visited nodes (%): 26.666667938232422, solving time (ms): 13.0, median approximation score: 0.0]
[   17] ANT-e [score: 870.0, median singleton score: 61.0, visited nodes (%): 93.33333587646484, solving time (ms): 52.0, median approximation score: 0.0]
[   18] EDF [score: 1233.0, median singleton score: 73.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.5957447290420532]
[   18] BNT [score: 1047.0, median singleton score: 103.0, visited nodes (%): 73.33333587646484, solving time (ms): 5.0, median approximation score: 1.1794872283935547]
[   18] CTS [score: 902.0, median singleton score: 108.0, visited nodes (%): 60.000003814697266, solving time (ms): 9.0, median approximation score: 1.2857142686843872]
[   18] ANT-e [score: 1028.0, median singleton score: 76.5, visited nodes (%): 93.33333587646484, solving time (ms): 564.0, median approximation score: 0.0]
[   19] EDF [score: 1326.0, median singleton score: 77.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.3771929740905762]
[   19] BNT [score: 1225.0, median singleton score: 99.0, visited nodes (%): 73.33333587646484, solving time (ms): 5.0, median approximation score: 1.4210525751113892]
[   19] CTS [score: 286.0, median singleton score: 286.0, visited nodes (%): 6.6666669845581055, solving time (ms): 10.0, median approximation score: 0.0]
[   19] ANT-e [score: 972.0, median singleton score: 66.0, visited nodes (%): 100.0, solving time (ms): 361.0, median approximation score: 0.0]
[   20] EDF [score: 1655.0, median singleton score: 139.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.508474588394165]
[   20] BNT [score: 1690.0, median singleton score: 170.5, visited nodes (%): 66.66667175292969, solving time (ms): 5.0, median approximation score: 2.3888888359069824]
[   20] CTS [score: 1327.0, median singleton score: 187.0, visited nodes (%): 33.333335876464844, solving time (ms): 21.0, median approximation score: 0.0]
[   20] ANT-e [score: 1003.0, median singleton score: 56.5, visited nodes (%): 93.33333587646484, solving time (ms): 63.0, median approximation score: 0.0]
[   21] EDF [score: 1036.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.3225806951522827]
[   21] BNT [score: 988.0, median singleton score: 73.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 1.3548387289047241]
[   21] CTS [score: 1367.0, median singleton score: 64.0, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.5666667222976685]
[   21] ANT-e [score: 791.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 689.0, median approximation score: 0.0]
[   22] EDF [score: 1938.0, median singleton score: 175.0, visited nodes (%): 80.0, solving time (ms): 1.0, median approximation score: 3.0526316165924072]
[   22] BNT [score: 1422.0, median singleton score: 122.0, visited nodes (%): 66.66667175292969, solving time (ms): 6.0, median approximation score: 1.9206348657608032]
[   22] CTS [score: 0.0, median singleton score: 0.0, visited nodes (%): 0.0, solving time (ms): 0.0, median approximation score: 0.0]
[   22] ANT-e [score: 1702.0, median singleton score: 119.0, visited nodes (%): 80.0, solving time (ms): 5.0, median approximation score: 0.0]
[   23] EDF [score: 1242.0, median singleton score: 92.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.4736841917037964]
[   23] BNT [score: 1222.0, median singleton score: 121.0, visited nodes (%): 73.33333587646484, solving time (ms): 6.0, median approximation score: 1.4042552709579468]
[   23] CTS [score: 2000.0, median singleton score: 105.5, visited nodes (%): 80.0, solving time (ms): 13.0, median approximation score: 2.340909004211426]
[   23] ANT-e [score: 930.0, median singleton score: 54.0, visited nodes (%): 93.33333587646484, solving time (ms): 415.0, median approximation score: 0.0]
[   24] EDF [score: 1593.0, median singleton score: 124.0, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 2.0370371341705322]
[   24] BNT [score: 1687.0, median singleton score: 163.0, visited nodes (%): 73.33333587646484, solving time (ms): 6.0, median approximation score: 1.9642857313156128]
[   24] CTS [score: 2210.0, median singleton score: 216.0, visited nodes (%): 73.33333587646484, solving time (ms): 13.0, median approximation score: 1.9473683834075928]
[   24] ANT-e [score: 1616.0, median singleton score: 113.5, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 0.0]
[   25] EDF [score: 2059.0, median singleton score: 176.5, visited nodes (%): 80.0, solving time (ms): 0.0, median approximation score: 3.472527503967285]
[   25] BNT [score: 1649.0, median singleton score: 134.0, visited nodes (%): 80.0, solving time (ms): 6.0, median approximation score: 2.9838709831237793]
[   25] CTS [score: 610.0, median singleton score: 198.0, visited nodes (%): 20.0, solving time (ms): 13.0, median approximation score: 0.0]
[   25] ANT-e [score: 1145.0, median singleton score: 65.5, visited nodes (%): 93.33333587646484, solving time (ms): 1410.0, median approximation score: 0.0]
[   26] EDF [score: 1274.0, median singleton score: 81.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.6875]
[   26] BNT [score: 1290.0, median singleton score: 117.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 2.0]
[   26] CTS [score: 2418.0, median singleton score: 175.5, visited nodes (%): 93.33333587646484, solving time (ms): 10.0, median approximation score: 2.9298245906829834]
[   26] ANT-e [score: 985.0, median singleton score: 75.0, visited nodes (%): 100.0, solving time (ms): 651.0, median approximation score: 0.0]
[   27] EDF [score: 200.0, median singleton score: 100.0, visited nodes (%): 13.333333969116211, solving time (ms): 1.0, median approximation score: 0.0]
[   27] BNT [score: 1243.0, median singleton score: 194.0, visited nodes (%): 46.66666793823242, solving time (ms): 7.0, median approximation score: 0.0]
[   27] CTS [score: 0.0, median singleton score: 0.0, visited nodes (%): 0.0, solving time (ms): 0.0, median approximation score: 0.0]
[   27] ANT-e [score: 1608.0, median singleton score: 106.0, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 0.0]
[   28] EDF [score: 1093.0, median singleton score: 90.0, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 1.5]
[   28] BNT [score: 1012.0, median singleton score: 91.0, visited nodes (%): 73.33333587646484, solving time (ms): 6.0, median approximation score: 1.2083333730697632]
[   28] CTS [score: 1793.0, median singleton score: 279.0, visited nodes (%): 46.66666793823242, solving time (ms): 25.0, median approximation score: 0.0]
[   28] ANT-e [score: 922.0, median singleton score: 51.5, visited nodes (%): 93.33333587646484, solving time (ms): 516.0, median approximation score: 0.0]
[   29] EDF [score: 974.0, median singleton score: 68.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.381818175315857]
[   29] BNT [score: 1137.0, median singleton score: 81.0, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 1.4199999570846558]
[   29] CTS [score: 1988.0, median singleton score: 142.5, visited nodes (%): 93.33333587646484, solving time (ms): 11.0, median approximation score: 2.75]
[   29] ANT-e [score: 942.0, median singleton score: 61.5, visited nodes (%): 93.33333587646484, solving time (ms): 908.0, median approximation score: 0.0]
[   30] EDF [score: 1364.0, median singleton score: 126.0, visited nodes (%): 73.33333587646484, solving time (ms): 1.0, median approximation score: 1.6363636255264282]
[   30] BNT [score: 1626.0, median singleton score: 183.0, visited nodes (%): 66.66667175292969, solving time (ms): 6.0, median approximation score: 1.8571428060531616]
[   30] CTS [score: 2526.0, median singleton score: 204.0, visited nodes (%): 93.33333587646484, solving time (ms): 8.0, median approximation score: 2.4352941513061523]
[   30] ANT-e [score: 1514.0, median singleton score: 94.0, visited nodes (%): 100.0, solving time (ms): 1395.0, median approximation score: 0.0]
[   31] EDF [score: 1312.0, median singleton score: 91.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.8333333730697632]
