Job name        : med-lfb-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   38] CTS [score: 1075.0, median singleton score: 57.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 2.08695650100708]
[   38] ANT-e [score: 379.0, median singleton score: 26.0, visited nodes (%): 100.0, solving time (ms): 526.0, median approximation score: 0.0]
[   39] EDF [score: 493.0, median singleton score: 35.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.52173912525177]
[   39] BNT [score: 612.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.076923131942749]
[   39] CTS [score: 1083.0, median singleton score: 33.0, visited nodes (%): 86.66666412353516, solving time (ms): 8.0, median approximation score: 1.2000000476837158]
[   39] ANT-e [score: 417.0, median singleton score: 28.0, visited nodes (%): 100.0, solving time (ms): 77.0, median approximation score: 0.0]
[   40] EDF [score: 540.0, median singleton score: 34.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[   40] BNT [score: 540.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.548387050628662]
[   40] CTS [score: 1196.0, median singleton score: 53.0, visited nodes (%): 93.33333587646484, solving time (ms): 7.0, median approximation score: 2.1111111640930176]
[   40] ANT-e [score: 463.0, median singleton score: 30.0, visited nodes (%): 100.0, solving time (ms): 866.0, median approximation score: 0.0]
[   41] EDF [score: 450.0, median singleton score: 31.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0416666269302368]
[   41] BNT [score: 552.0, median singleton score: 35.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.0833333730697632]
[   41] CTS [score: 987.0, median singleton score: 84.0, visited nodes (%): 80.0, solving time (ms): 9.0, median approximation score: 2.5]
[   41] ANT-e [score: 510.0, median singleton score: 33.0, visited nodes (%): 100.0, solving time (ms): 318.0, median approximation score: 0.0]
[   42] EDF [score: 351.0, median singleton score: 24.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.0]
[   42] BNT [score: 374.0, median singleton score: 29.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.1333333253860474]
[   42] CTS [score: 913.0, median singleton score: 47.0, visited nodes (%): 80.0, solving time (ms): 7.0, median approximation score: 1.6296296119689941]
[   42] ANT-e [score: 341.0, median singleton score: 25.0, visited nodes (%): 100.0, solving time (ms): 193.0, median approximation score: 0.0]
[   43] EDF [score: 732.0, median singleton score: 46.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.1333333253860474]
[   43] BNT [score: 742.0, median singleton score: 47.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.1538461446762085]
[   43] CTS [score: 1076.0, median singleton score: 57.5, visited nodes (%): 66.66667175292969, solving time (ms): 10.0, median approximation score: 1.2894736528396606]
[   43] ANT-e [score: 553.0, median singleton score: 34.5, visited nodes (%): 93.33333587646484, solving time (ms): 146.0, median approximation score: 0.0]
