Job name        : med-lfb-superadditive
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [SUPERADDITIVE]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   14] BNT [score: 947.0, median singleton score: 61.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.686274528503418]
[   14] CTS [score: 2197.0, median singleton score: 136.0, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 3.675675630569458]
[   14] ANT-e [score: 1010.0, median singleton score: 63.0, visited nodes (%): 100.0, solving time (ms): 349.0, median approximation score: 0.0]
[   15] EDF [score: 856.0, median singleton score: 60.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5897436141967773]
[   15] BNT [score: 868.0, median singleton score: 65.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.5357142686843872]
[   15] CTS [score: 1597.0, median singleton score: 144.0, visited nodes (%): 73.33333587646484, solving time (ms): 3.0, median approximation score: 3.5714285373687744]
[   15] ANT-e [score: 614.0, median singleton score: 41.0, visited nodes (%): 100.0, solving time (ms): 168.0, median approximation score: 0.0]
[   16] EDF [score: 763.0, median singleton score: 39.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.545454502105713]
[   16] BNT [score: 728.0, median singleton score: 50.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.4074074029922485]
[   16] CTS [score: 1457.0, median singleton score: 80.5, visited nodes (%): 80.0, solving time (ms): 3.0, median approximation score: 3.04347825050354]
[   16] ANT-e [score: 544.0, median singleton score: 27.0, visited nodes (%): 100.0, solving time (ms): 370.0, median approximation score: 0.0]
[   17] EDF [score: 1423.0, median singleton score: 101.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 2.2857143878936768]
[   17] BNT [score: 972.0, median singleton score: 86.0, visited nodes (%): 80.0, solving time (ms): 0.0, median approximation score: 1.4210525751113892]
[   17] CTS [score: 1467.0, median singleton score: 213.5, visited nodes (%): 53.333335876464844, solving time (ms): 5.0, median approximation score: 1.2000000476837158]
[   17] ANT-e [score: 629.0, median singleton score: 46.5, visited nodes (%): 93.33333587646484, solving time (ms): 47.0, median approximation score: 0.0]
[   18] EDF [score: 808.0, median singleton score: 57.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.75]
[   18] BNT [score: 940.0, median singleton score: 76.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 2.1666667461395264]
[   18] CTS [score: 1267.0, median singleton score: 130.0, visited nodes (%): 73.33333587646484, solving time (ms): 3.0, median approximation score: 3.0833332538604736]
[   18] ANT-e [score: 629.0, median singleton score: 40.5, visited nodes (%): 93.33333587646484, solving time (ms): 351.0, median approximation score: 0.0]
[   19] EDF [score: 1105.0, median singleton score: 63.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.7027027606964111]
[   19] BNT [score: 867.0, median singleton score: 62.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.2608696222305298]
[   19] CTS [score: 1455.0, median singleton score: 167.0, visited nodes (%): 60.000003814697266, solving time (ms): 5.0, median approximation score: 1.8695652484893799]
[   19] ANT-e [score: 800.0, median singleton score: 57.0, visited nodes (%): 100.0, solving time (ms): 156.0, median approximation score: 0.0]
[   20] EDF [score: 706.0, median singleton score: 45.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.3157894611358643]
[   20] BNT [score: 941.0, median singleton score: 79.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 2.042553186416626]
[   20] CTS [score: 1762.0, median singleton score: 127.0, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 3.325000047683716]
[   20] ANT-e [score: 670.0, median singleton score: 47.0, visited nodes (%): 93.33333587646484, solving time (ms): 376.0, median approximation score: 0.0]
[   21] EDF [score: 988.0, median singleton score: 83.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.7884615659713745]
[   21] BNT [score: 1143.0, median singleton score: 98.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 2.2142856121063232]
[   21] CTS [score: 2123.0, median singleton score: 154.0, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 4.0]
[   21] ANT-e [score: 819.0, median singleton score: 63.0, visited nodes (%): 100.0, solving time (ms): 277.0, median approximation score: 0.0]
[   22] EDF [score: 789.0, median singleton score: 58.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.644444465637207]
[   22] BNT [score: 833.0, median singleton score: 65.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.6136363744735718]
[   22] CTS [score: 1310.0, median singleton score: 110.0, visited nodes (%): 80.0, solving time (ms): 3.0, median approximation score: 3.39393949508667]
[   22] ANT-e [score: 736.0, median singleton score: 46.5, visited nodes (%): 93.33333587646484, solving time (ms): 148.0, median approximation score: 0.0]
[   23] EDF [score: 1007.0, median singleton score: 67.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.7000000476837158]
[   23] BNT [score: 861.0, median singleton score: 77.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.4642857313156128]
[   23] CTS [score: 1726.0, median singleton score: 110.0, visited nodes (%): 86.66666412353516, solving time (ms): 3.0, median approximation score: 3.4642856121063232]
[   23] ANT-e [score: 654.0, median singleton score: 45.0, visited nodes (%): 100.0, solving time (ms): 65.0, median approximation score: 0.0]
[   24] EDF [score: 828.0, median singleton score: 54.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.52173912525177]
[   24] BNT [score: 1055.0, median singleton score: 92.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 2.1666667461395264]
[   24] CTS [score: 1824.0, median singleton score: 119.5, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 3.13043475151062]
[   24] ANT-e [score: 644.0, median singleton score: 39.0, visited nodes (%): 100.0, solving time (ms): 211.0, median approximation score: 0.0]
[   25] EDF [score: 802.0, median singleton score: 56.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.7000000476837158]
[   25] BNT [score: 1193.0, median singleton score: 89.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 2.734693765640259]
[   25] CTS [score: 1337.0, median singleton score: 115.5, visited nodes (%): 66.66667175292969, solving time (ms): 4.0, median approximation score: 1.8333333730697632]
[   25] ANT-e [score: 560.0, median singleton score: 43.0, visited nodes (%): 93.33333587646484, solving time (ms): 299.0, median approximation score: 0.0]
[   26] EDF [score: 776.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.545454502105713]
[   26] BNT [score: 800.0, median singleton score: 62.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5510203838348389]
[   26] CTS [score: 1587.0, median singleton score: 80.0, visited nodes (%): 86.66666412353516, solving time (ms): 4.0, median approximation score: 3.090909004211426]
[   26] ANT-e [score: 526.0, median singleton score: 33.5, visited nodes (%): 93.33333587646484, solving time (ms): 12.0, median approximation score: 0.0]
[   27] EDF [score: 895.0, median singleton score: 70.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5]
[   27] BNT [score: 871.0, median singleton score: 67.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.2000000476837158]
[   27] CTS [score: 1664.0, median singleton score: 137.0, visited nodes (%): 80.0, solving time (ms): 4.0, median approximation score: 3.02439022064209]
[   27] ANT-e [score: 870.0, median singleton score: 58.0, visited nodes (%): 100.0, solving time (ms): 147.0, median approximation score: 0.0]
[   28] EDF [score: 864.0, median singleton score: 59.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.6136363744735718]
[   28] BNT [score: 902.0, median singleton score: 80.5, visited nodes (%): 80.0, solving time (ms): 0.0, median approximation score: 1.7674418687820435]
[   28] CTS [score: 1439.0, median singleton score: 148.0, visited nodes (%): 73.33333587646484, solving time (ms): 3.0, median approximation score: 3.0]
[   28] ANT-e [score: 618.0, median singleton score: 43.0, visited nodes (%): 93.33333587646484, solving time (ms): 454.0, median approximation score: 0.0]
[   29] EDF [score: 1035.0, median singleton score: 73.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.8333333730697632]
[   29] BNT [score: 1217.0, median singleton score: 107.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 2.1960785388946533]
[   29] CTS [score: 1943.0, median singleton score: 139.0, visited nodes (%): 80.0, solving time (ms): 5.0, median approximation score: 3.5641026496887207]
[   29] ANT-e [score: 829.0, median singleton score: 65.0, visited nodes (%): 93.33333587646484, solving time (ms): 366.0, median approximation score: 0.0]
[   30] EDF [score: 738.0, median singleton score: 45.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5416666269302368]
[   30] BNT [score: 747.0, median singleton score: 64.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.5555555820465088]
[   30] CTS [score: 1565.0, median singleton score: 114.0, visited nodes (%): 93.33333587646484, solving time (ms): 3.0, median approximation score: 3.275861978530884]
[   30] ANT-e [score: 471.0, median singleton score: 33.5, visited nodes (%): 93.33333587646484, solving time (ms): 29.0, median approximation score: 0.0]
[   31] EDF [score: 971.0, median singleton score: 69.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.7173912525177002]
[   31] BNT [score: 961.0, median singleton score: 70.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.4583333730697632]
[   31] CTS [score: 703.0, median singleton score: 82.5, visited nodes (%): 40.0, solving time (ms): 4.0, median approximation score: 0.0]
[   31] ANT-e [score: 791.0, median singleton score: 53.5, visited nodes (%): 93.33333587646484, solving time (ms): 156.0, median approximation score: 0.0]
[   32] EDF [score: 1017.0, median singleton score: 70.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5625]
[   32] BNT [score: 1008.0, median singleton score: 74.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.5090909004211426]
[   32] CTS [score: 2115.0, median singleton score: 162.0, visited nodes (%): 86.66666412353516, solving time (ms): 4.0, median approximation score: 3.5799999237060547]
[   32] ANT-e [score: 888.0, median singleton score: 66.0, visited nodes (%): 100.0, solving time (ms): 351.0, median approximation score: 0.0]
[   33] EDF [score: 895.0, median singleton score: 51.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.8888888359069824]
[   33] BNT [score: 945.0, median singleton score: 74.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6666666269302368]
[   33] CTS [score: 1196.0, median singleton score: 113.5, visited nodes (%): 66.66667175292969, solving time (ms): 3.0, median approximation score: 2.3333332538604736]
[   33] ANT-e [score: 559.0, median singleton score: 36.5, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 0.0]
[   34] EDF [score: 936.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.3571428060531616]
[   34] BNT [score: 947.0, median singleton score: 73.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.3448275327682495]
[   34] CTS [score: 1889.0, median singleton score: 136.0, visited nodes (%): 86.66666412353516, solving time (ms): 5.0, median approximation score: 3.5999999046325684]
[   34] ANT-e [score: 790.0, median singleton score: 56.0, visited nodes (%): 100.0, solving time (ms): 402.0, median approximation score: 0.0]
[   35] EDF [score: 917.0, median singleton score: 64.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5641025304794312]
[   35] BNT [score: 1005.0, median singleton score: 74.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6176470518112183]
[   35] CTS [score: 1622.0, median singleton score: 139.0, visited nodes (%): 73.33333587646484, solving time (ms): 5.0, median approximation score: 3.4749999046325684]
[   35] ANT-e [score: 666.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 24.0, median approximation score: 0.0]
[   36] EDF [score: 886.0, median singleton score: 59.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5428571701049805]
[   36] BNT [score: 874.0, median singleton score: 66.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.4166666269302368]
[   36] CTS [score: 1436.0, median singleton score: 126.0, visited nodes (%): 80.0, solving time (ms): 3.0, median approximation score: 2.58695650100708]
[   36] ANT-e [score: 894.0, median singleton score: 63.0, visited nodes (%): 100.0, solving time (ms): 103.0, median approximation score: 0.0]
[   37] EDF [score: 783.0, median singleton score: 44.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5555555820465088]
[   37] BNT [score: 884.0, median singleton score: 64.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.7222222089767456]
[   37] CTS [score: 1974.0, median singleton score: 133.0, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 3.5]
[   37] ANT-e [score: 628.0, median singleton score: 47.0, visited nodes (%): 100.0, solving time (ms): 248.0, median approximation score: 0.0]
[   38] EDF [score: 846.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6363636255264282]
[   38] BNT [score: 888.0, median singleton score: 72.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.442307710647583]
[   38] CTS [score: 1149.0, median singleton score: 116.0, visited nodes (%): 73.33333587646484, solving time (ms): 3.0, median approximation score: 2.5238094329833984]
[   38] ANT-e [score: 652.0, median singleton score: 40.0, visited nodes (%): 100.0, solving time (ms): 41.0, median approximation score: 0.0]
